"OrganizationId","OrganizationName","OrganizationSlug","OrganizationCreationDate","OrganizationDescription"
"1042","Corporación Favorita","Corporación-Favorita","10/04/2017",""
"1048","""/><h1>test</h1>","fjshdfasdsd","10/06/2017","> hello <a name=""n""
> href=""javascript:alert('xss')"">*you*</a>"
"1056","http://humbertobrandao.com","humbertobrandao","10/12/2017","This company provides services in Machine Learning as well as consulting.

We have many clients around the world in different fields.

If you are looking for solving real-world problems using Machine Learning, we can do it for you.

http://humbertobrandao.com"
"1075","PROPPG/PPG em Informática - Doutorado e Mestrado","PROPPG-PPG","10/23/2017",""
"1076","Mercari","mercari-team","10/24/2017","Mercari provides a hassle-free and secure way for anyone to buy and sell stuff straight from their mobile device."
"1096","test_ziyed","testziyed","10/31/2017",""
"1097","SciELO","scieloorg","10/31/2017","SciELO - Scientific Electronic Library Online is a model for cooperative electronic publishing of scientific journals on the Internet. Especially conceived to meet the scientific communication needs of developing countries, particularly Latin America and the Caribbean countries, it provides an efficient way to assure universal visibility and accessibility to their scientific literature, contributing to overcome the phenomena known as ‘lost science’. In addition, the SciELO model comprises integrated procedures for the measurement of usage and impact of scientific journals.

Read more at http://docs.scielo.org/en/latest/about.html"
"1098","Google News Lab","GoogleNewsLab","10/31/2017","We focus on helping data journalists leverage the best of Google data to bring new insights to their readers. We’ve partnered with journalists and researchers on using Google Trends — one of the largest publicly available datasets on the internet today, and other Google data sets like YouTube, Waze, and Google Translate. We have convened a working group of top data journalists and visualists to showcase some of the best data-driven storytelling available and push the practice forward. You can read more about us [here][1].

You can download more datasets [here][2].

See more of our datavisual work [here][3].


  [1]: https://newslab.withgoogle.com/tout/data-journalism
  [2]: http://googletrends.github.io/data/
  [3]: https://trends.google.com/trends/story/US_cu_6fXtAFIBAABWdM_en"
"1099","TensorFlow","tensorflow","11/01/2017","TensorFlow is an open-source software library for dataflow programming across a range of tasks."
"1102","Mission San Jose AI Club","msjaiclub","11/01/2017","A diverse group of students that utilize what they learn at educational sessions to attempt to create a solution to AI-related problems"
"1118","INFINITYLABS","INFINITYLABS","11/03/2017","UST GLOBAL Innovation Incubation Ecosystem"
"1120","Safecast","safecast","11/03/2017","From the website: 

Safecast is an international, volunteer-centered organization devoted to open citizen science for the environment. After the devastating earthquake and tsunami which struck eastern Japan on March 11, 2011, and the subsequent meltdown of the Fukushima Daiichi Nuclear Power Plant, accurate and trustworthy radiation information was publicly unavailable. Safecast was formed in response, and quickly began monitoring, collecting, and openly sharing information on environmental radiation and other pollutants, growing quickly in size, scope, and geographical reach. Our mission is to provide citizens worldwide with the tools they need to inform themselves by gathering and sharing accurate environmental data in an open and participatory fashion."
"1143","Scottfree Analytics LLC","scottfree","11/08/2017","We lead the design and development of large-scale, automated predictive analytics and machine learning models for Fortune 500 companies and small businesses. Some of the tools we use:

* Data Science: scikit-learn, H2O.ai, MLlib, R, Pandas
* Deep Learning: Keras, TensorFlow
* Big Data: Spark, Hadoop, Hive, Pig, Oozie, Palantir

Developer of [AlphaPy][1], a Python AutoML framework.

  [1]: https://github.com/ScottFreeLLC/AlphaPy"
"1144","Data Science at Saint Louis University","dsatslu","11/09/2017",""
"1146","National Institutes of Health Chest X-Ray Dataset","nih-chest-xrays","11/10/2017","### National Institutes of Health Chest X-Ray Dataset

---

Chest X-ray exams are one of the most frequent and cost-effective medical imaging examinations available. However, clinical diagnosis of a chest X-ray can be challenging and sometimes more difficult than diagnosis via chest CT imaging. The lack of large publicly available datasets with annotations means it is still very difficult, if not impossible, to achieve clinically relevant computer-aided detection and diagnosis (CAD) in real world medical sites with chest X-rays. One major hurdle in creating large X-ray image datasets is the lack resources for labeling so many images. Prior to the release of this dataset, [Openi][1] was the largest publicly available source of chest X-ray images with 4143 images available.

This NIH Chest X-ray Dataset is comprised of 112,120 X-ray images with disease labels from 30,805 unique patients. To create these labels, the authors used Natural Language Processing to text-mine disease classifications from the associated radiological reports. The labels are expected to be >90% accurate and suitable for weakly-supervised learning. The original radiology reports are not publicly available but you can find more details on the labeling process in the Open Access paper by [ChestX-ray8_Hospital-Scale_Chest_CVPR_2017_paper.pdf][30]  (*Wang et al.*).

[1]: https://openi.nlm.nih.gov/

<br>
### Content
There are 12 zip files in total and range from ~2 gb to 4 gb in size. We have grouped the zip files in six datasets and each one contains two of the zip files along with a copy of the class labels. Additionally, we took a random sample (5%) of these images and created a smaller dataset for use in Kernels. The random sample contains 5,606 X-ray images and class labels.<br><br>

---

### NIH Chest X-rays Dataset<br>

Detailed description<br>
[https://www.kaggle.com/nih-chest-xrays/data][8]
 
images_001.zip ([download][10])<br>
images_002.zip ([download][11])<br>
images_003.zip ([download][12])<br>
images_004.zip ([download][13])<br>
images_005.zip ([download][14])<br>
images_006.zip ([download][15])<br>
images_007.zip ([download][16])<br>
images_008.zip ([download][17])<br>
images_009.zip ([download][18])<br>
images_010.zip ([download][19])<br>
images_011.zip ([download][20])<br>
images_012.zip ([download][21])<br>

---

### Sample dataset<br>

Detailed description<br>
[https://www.kaggle.com/nih-chest-xrays/sample][9] <br>

sample.zip ([download][22])<br>

---

[8]: https://www.kaggle.com/nih-chest-xrays/data
[9]: https://www.kaggle.com/nih-chest-xrays/sample
[10]: https://www.kaggle.com/nih-chest-xrays/data/downloads/images_001.zip
[11]: https://www.kaggle.com/nih-chest-xrays/data/downloads/images_002.zip
[12]: https://www.kaggle.com/nih-chest-xrays/data/downloads/images_003.zip
[13]: https://www.kaggle.com/nih-chest-xrays/data/downloads/images_004.zip
[14]: https://www.kaggle.com/nih-chest-xrays/data/downloads/images_005.zip
[15]: https://www.kaggle.com/nih-chest-xrays/data/downloads/images_006.zip
[16]: https://www.kaggle.com/nih-chest-xrays/data/downloads/images_007.zip
[17]: https://www.kaggle.com/nih-chest-xrays/data/downloads/images_008.zip
[18]: https://www.kaggle.com/nih-chest-xrays/data/downloads/images_009.zip
[19]: https://www.kaggle.com/nih-chest-xrays/data/downloads/images_010.zip
[20]: https://www.kaggle.com/nih-chest-xrays/data/downloads/images_011.zip
[21]: https://www.kaggle.com/nih-chest-xrays/data/downloads/images_012.zip
[22]: https://www.kaggle.com/nih-chest-xrays/sample/downloads/sample.zip


<br>
### Modifications to original data

- Original TAR archives were converted to ZIP archives to be compatible with the Kaggle platform

- CSV headers slightly modified to be more explicit in comma separation and also to allow fields to be self-explanatory

<br>
### Citations

- Wang X, Peng Y, Lu L, Lu Z, Bagheri M, Summers RM. ChestX-ray8: Hospital-scale Chest X-ray Database and Benchmarks on Weakly-Supervised Classification and Localization of Common Thorax Diseases. IEEE CVPR 2017, [ChestX-ray8_Hospital-Scale_Chest_CVPR_2017_paper.pdf][30]

- NIH News release: [NIH Clinical Center provides one of the largest publicly available chest x-ray datasets to scientific community][30]

- Original source files and documents: [https://nihcc.app.box.com/v/ChestXray-NIHCC/folder/36938765345][31]

<br>
### Acknowledgements

This work was supported by the Intramural Research Program of the NClinical Center (clinicalcenter.nih.gov) and National Library of Medicine (www.nlm.nih.gov). 


  [30]: https://www.nih.gov/news-events/news-releases/nih-clinical-center-provides-one-largest-publicly-available-chest-x-ray-datasets-scientific-community

  [31]: https://nihcc.app.box.com/v/ChestXray-NIHCC/folder/36938765345"
"1154","JohnJayChou&MichelleZhuang","John-Michelle","11/15/2017","Awesome！"
"1155","Australian Bureau of Statistics","australian-bureau-of-statistics","11/15/2017","The Australian Bureau of Statistics is the independent statistical agency of the Government of Australia."
"1158","STEM Fellowship","stemfellowship","11/15/2017",""
"1160","Machine Learning Group - ULB","mlg-ulb","11/15/2017","The ULB Machine Learning Group (MLG) is a research unit of the [Computer Science Department][1] of the Faculty of Sciences, co-headed by Prof. [Gianluca Bontempi][2] and Prof. [Tom Lenaerts][3]. MLG was founded in 2004 by [Gianluca Bontempi][4]. 
The activity of the group covers the areas of machine learning, computational modelling and statistics and their applications in data mining, simulation and time series prediction. In October 2008, [Tom Lenaerts][5] joined MLG as a new academic, extending the group's expertise towards computational biology, evolutionary dynamics and complex systems research.

 
Currently we focus on:

 - Big data mining, modeling and prediction 
 - Bioinformatics and computational biology 
 - Dynamics of cooperation and competition

  [1]: http://www.ulb.ac.be/facs/sciences/info/
  [2]: http://www.ulb.ac.be/di/map/gbonte/Welcome.html
  [3]: http://www.ulb.ac.be/di/map/tlenaert/Home_Tom_Lenaerts/Welcome.html
  [4]: http://www.ulb.ac.be/di/map/gbonte/Welcome.html
  [5]: http://www.ulb.ac.be/di/map/tlenaert/Home_Tom_Lenaerts/Welcome.html"
"1166","VarDial","vardial","11/21/2017","VarDial is a well-established series of workshops promoting a forum for scholars working on a range of topics related to the study of linguistic variation.

Previous editions were the first VarDial 2014 workshop co-located with COLING, the joint workshop LT4VarDial 2015 co-located with RANLP, and VarDial 2016 co-located with COLING. In 2017 VarDial will be co-located with EACL 2017 in Valencia, Spain.

The workshop provides a forum for scholars working on a range of topics related to the study of linguistic variation. We anticipate discussion on computational methods and on language resources for closely related languages and language variants. Corpus-driven exploitation of different degrees of linguistic variation such as lexicon and grammar is another topic of interest."
"1167","Aalborg University","aalborguniversity","11/21/2017",""
"1169","City of Austin","city-of-austin","11/22/2017",""
"1181","大清要完","TheQingEmpire","11/27/2017","你国药丸"
"1192","Open AQ","open-aq","11/30/2017","Our mission is to enable previously impossible science, impact policy and empower the public to fight air pollution through open data, open-source tools, and cooperation.

We aggregate physical air quality data from public data sources provided by government, research-grade and other sources. These awesome groups do the hard work of measuring these data and publicly sharing them, and our community makes them more universally-accessible to both humans and machines. 


Notes: 

(1) We do not validate or transform the data from their originating sources. 

(2) Real-time data, by their nature, often have not undergone quality assurance or control processes by their originating sources. 

(3) Please contact originating sources for more detailed information not provided on this platform."
"1193","Mozilla","mozillaorg","11/30/2017","Mozilla (stylized as moz://a) is a free-software community created in 1998 by members of Netscape. The Mozilla community uses, develops, spreads and supports Mozilla products, thereby promoting exclusively free software and open standards, with only minor exceptions. The community is supported institutionally by the Mozilla Foundation and its tax-paying subsidiary, the Mozilla Corporation.
    
Mozilla's products include the Firefox web browser, Thunderbird e-mail client, Firefox OS mobile operating system, Bugzilla bug tracking system, Gecko layout engine and others.
____

From [Wikipedia, The Free Encyclopedia](https://en.wikipedia.org/w/index.php?title=Mozilla&oldid=810391486)"
"1197","Github","github","12/04/2017","[GitHub](https://github.com/) is a Web-based Git version control repository hosting service. It is mostly used for computer code. It offers all of the distributed version control and source code management (SCM) functionality of Git as well as adding its own features. It provides access control and several collaboration features such as bug tracking, feature requests, task management, and wikis for every project.

GitHub offers both plans for private and free repositories on the same account which are commonly used to host open-source software projects. As of April 2017, GitHub reports having almost 20 million users and 57 million repositories, making it the largest host of source code in the world.

*note: this organization page is not managed by Github."
"1200","Megagon Labs","ritresearch","12/05/2017","Megagon Labs is a research lab focusing on cutting-edge Artificial Intelligence and Data Management technology.  The lab's mission is to conduct top-notch research contributing to AI/Database research community and build high-quality systems that impact the services of Recruit Holdings, a company that runs over 200 online consumer lifestyle services."
"1202","Keras","keras","12/06/2017","Keras is a high-level neural networks API, written in Python and capable of running on top of TensorFlow, CNTK, or Theano. It was developed with a focus on enabling fast experimentation. Being able to go from idea to result with the least possible delay is key to doing good research.<br><br>

---

**Pre-trained models for Keras**<br>

These are image classification models trained on ImageNet:<br>
- [VGG16][3]<br>
- [VGG19][4]<br>
- [ResNet50][1]<br>
- [InceptionV3][5]<br>
- [InceptionResNetV2][6]<br>
- [Xception][2]<br>

[1]: https://www.kaggle.com/keras/resnet50
[2]: https://www.kaggle.com/keras/xception
[3]: https://www.kaggle.com/keras/vgg16
[4]: https://www.kaggle.com/keras/vgg19
[5]: https://www.kaggle.com/keras/inceptionv3
[6]: https://www.kaggle.com/keras/InceptionResNetV2"
"1204","Eclipse MegaMovie","eclipse-megamovie","12/06/2017","This first-of-its-kind citizen science project is a collection of photos submitted by a group of dedicated volunteers from locations across the United States during the August 21, 2017 total solar eclipse. These individual photos have been stitched together to give us an extended look at the sun’s atmosphere as the eclipse traversed the US.

This is but a preview of what can be made with these data. This video was compiled algorithmically, but future versions can be compiled with additional hands-on editing to improve the outcome. The full dataset of images is available publically on Google Cloud Open Datasets. We are excited to see what improved movies and scientific discoveries come from the dataset in the years to come."
"1205","Thought Vector","thoughtvector","12/07/2017",""
"1212","PyTorch","pytorch","12/12/2017","PyTorch is a  a Python-based scientific computing package targeted at two sets of audiences: 1) A replacement for numpy to use the power of GPUs and 2) a deep learning research platform that provides maximum flexibility and speed.<br><br>

---

**Pre-trained models for PyTorch**<br>

These are image classification models trained on ImageNet:<br><br>

- [AlexNet][1]
- [DenseNet-121][2]
- [DenseNet-161][3]
- [DenseNet-169][4]
- [DenseNet-201][5]
- [InceptionV3][6]
- [ResNet-18][7]
- [ResNet-34][8]
- [ResNet-50][9]
- [ResNet-101][10]
- [ResNet-152][11]
- [SqueezeNet 1.0][18]
- [SqueezeNet 1.1][19]
- [VGG-11][14]
- [VGG-13][15]
- [VGG-16][16]
- [VGG-19][17]
- [VGG-11 with batch normalization][20]
- [VGG-13 with batch normalization][21]
- [VGG-16 with batch normalization][22]
- [VGG-19 with batch normalization][23]

[1]: https://www.kaggle.com/pytorch/alexnet
[2]: https://www.kaggle.com/pytorch/densenet121
[3]: https://www.kaggle.com/pytorch/densenet161
[4]: https://www.kaggle.com/pytorch/densenet169
[5]: https://www.kaggle.com/pytorch/densenet201
[6]: https://www.kaggle.com/pytorch/inceptionv3
[7]: https://www.kaggle.com/pytorch/resnet18
[8]: https://www.kaggle.com/pytorch/resnet34
[9]: https://www.kaggle.com/pytorch/resnet50
[10]: https://www.kaggle.com/pytorch/resnet101
[11]: https://www.kaggle.com/pytorch/resnet152

[14]: https://www.kaggle.com/pytorch/vgg11
[15]: https://www.kaggle.com/pytorch/vgg13
[16]: https://www.kaggle.com/pytorch/vgg16
[17]: https://www.kaggle.com/pytorch/vgg19

[18]: https://www.kaggle.com/pytorch/squeezenet1
[19]: https://www.kaggle.com/pytorch/squeezenet11
[20]: https://www.kaggle.com/pytorch/VGG11bn
[21]: https://www.kaggle.com/pytorch/VGG13bn
[22]: https://www.kaggle.com/pytorch/VGG16bn
[23]: https://www.kaggle.com/pytorch/VGG19bn"
"1218","Jigsaw/Conversation AI","jigsaw-team","12/14/2017","[Jigsaw][1] is a team within Alphabet that builds technology to tackle some of the toughest global security challenges facing the world today—from thwarting online censorship to mitigating the threats from digital attacks to countering violent extremism to protecting people from online harassment.

Our team of engineers, scientists, researchers, designers and policy experts view the world through the lens of technology. Our name, Jigsaw, acknowledges that the world is a complex puzzle of challenges, and it takes a collaborative approach to solve them.

[Conversation AI][2] is a collaborative research effort exploring ML as a tool for better discussions online.


  [1]: https://jigsaw.google.com
  [2]: https://conversationai.github.io/"
"1220","IEEE Signal Processing Society","IEEESPCup","12/15/2017",""
"1225","Startup Policy Lab","startuppolicylab","12/20/2017","Startup Policy Lab works at the intersection of technology and government. Our mission is to promote innovative, open, and data-driven policymaking. We organize forums to inform, educate, and empower those that want to craft public policy to support those goals."
"1227","Cards Against Humanity","cardsagainsthumanity","12/21/2017",""
"1228","fordeletion","fordeletion","12/24/2017",""
"1240","Universidad de Palermo","palermoedu","01/04/2018","Programa Ejecutivo Big Data y Analytics
Tecnologías y habilidades para manipular, analizar y dar valor a grandes volúmenes de información."
"1250","""><svg/onload=alert(1)>","abcdesassyorg","01/11/2018","""><svg/onload=alert(1)>"
"1253","testingshi","facebook.com","01/11/2018","testingokat"
"1256","joejoe2organization","kkkmiinoooo","01/13/2018","none"
"1258","mino organization","minooooorganization","01/13/2018","}</script><script>confirm(1)</script>"
"1271","Binance","binance","01/16/2018","## Strong Team ##
Led by Changpeng Zhao, our team have experience in both wall-street and crypto finance. Our team also have a track record of successful startups under our belt.

## Proven Products ##
The underlying Binance platform has been deployed on 30+ exchanges already. It supports all devices and multiple languages, offering a seamless user experience.

## Superior Technology ##
Our certified matching engine is capable of processing 1,400,000 orders per second, making Binance one of the fastest exchange in the market today.

## Industry Resources ##
We have solid relationships with industry leaders, simply look at the list of investors and advisors who are willing to stand behind our platform."
"1275","Yun Solutions","yunlevin","01/18/2018","We are a startup in IoT space with focus on automotives. We are working on new age products for auto sector. Our products include OBD solution, Voice and ChatBot, and Tech consulting."
"1285","European Patent Office","epoorg","01/22/2018","https://www.epo.org/about-us.html"
"1290","European Union Open Data Portal","EUODP","01/23/2018","The European Union Open Data Portal (EU ODP) provides access to an expanding range of data from the European Union (EU) institutions and other EU bodies. You can use and reuse these data for commercial or non-commercial purposes.   

By providing easy access to data — free of charge — we aim to help you put them to innovative use and unlock their economic potential. The portal is also designed to make the EU institutions and other bodies more open and accountable."
"1295","Testing2.0","testing20","01/25/2018",""
"1296","Statistics Canada","statcan","01/26/2018","Datasets produced by Statistics Canada


##About Statistics Canada

Statistics Canada produces statistics that help Canadians better understand their country—its population, resources, economy, society and culture.

In addition to conducting a Census every five years, there are about 350 active surveys on virtually all aspects of Canadian life.

In Canada, providing statistics is a federal responsibility. As Canada's central statistical office, Statistics Canada is legislated to serve this function for the whole of Canada and each of the provinces and territories.

Objective statistical information is vital to an open and democratic society. It provides a solid foundation for informed decisions by elected representatives, businesses, unions and non-profit organizations, as well as individual Canadians. As a member of the United Nations Statistical Commission, Statistics Canada endorses the Fundamental principles of official statistics.

[More information](http://www.statcan.gc.ca/eng/about/about?MM=as)

##Disclaimer

This account is not managed by Statistics Canada, instead it is a collection of data originally published by Statistics Canada"
"1297","Bletchley Bootcamp","bletchley","01/26/2018",""
"1303","Listen Notes","listennotes","01/28/2018","The podcast search engine that actually works.

* [Podcast search & directory APIs][1]

* [Podcast search engine][2]


  [1]: https://www.listennotes.com/api/
  [2]: https://www.listennotes.com/"
"1304","Google BigQuery","bigquery","01/30/2018","BigQuery is a data warehouse for manipulating, joining, and querying large scale tabular datasets. BigQuery offers BigQuery ML, an easy way for users to create and run machine learning models to generate predictions through a SQL query interface."
"1313","OpenPowerlifting","open-powerlifting","02/02/2018","Powerlifting is a sport consisting of three core weight-lifting exercises. Competitors compete to lift the largest amount of weight for their given class. 

OpenPowerlifting is a website which collections information collected from individual powerlifting meets and competitors."
"1315","RistekCSUI","ristekcsui","02/04/2018",""
"1316","Test OH","testoh","02/05/2018",""
"1317","Kiva","kiva","02/05/2018","Kiva is an international nonprofit, founded in 2005 and based in San Francisco, with a mission to connect people through lending to alleviate poverty. We celebrate and support people looking to create a better future for themselves, their families and their communities.

By lending as little as $25 on Kiva, anyone can help a borrower start or grow a business, go to school, access clean energy or realize their potential. For some, it’s a matter of survival, for others it’s the fuel for a life-long ambition.

100% of every dollar you lend on Kiva goes to funding loans. Kiva covers costs primarily through optional donations, as well as through support from grants and sponsors."
"1318","DonorsChoose.org","donorschoose","02/06/2018","Founded in 2000 by a high school teacher in the Bronx, DonorsChoose.org empowers public school teachers from across the country to request much-needed materials and experiences for their students. Right now there are thousands of classroom requests that you can help bring to life with a gift of any amount."
"1330","HackerRank","hackerrank","02/09/2018","HackerRank is a technical hiring platform that helps businesses evaluate software developers based on skill. Over 1,000 customers across all industries, including 5 out of the top 8 commercial bank institutions in the U.S. and 4 of the top 7 retail companies, rely on HackerRank's automated skills assessments to evaluate and hire technical talent from around the world. More than 3.4 million developers (over 10 percent of the global developer population) trust HackerRank to learn and practice coding. On average, HackerRank powers one challenge every 15 seconds in over 35 programming languages."
"1348","Oxford Poverty & Human Development Initiative","ophi","02/12/2018","The Oxford Poverty and Human Development Initiative (OPHI) is an economic research centre within the Oxford Department of International Development at the University of Oxford. Established in 2007, the centre is led by Sabina Alkire.

OPHI aims to build and advance a more systematic methodological and economic framework for reducing multidimensional poverty, grounded in people’s experiences and values. OPHI works towards this by:

**Broadening poverty measurement**: OPHI develops and implements multi-dimensional measures of poverty, wellbeing and inequality. These measures go beyond traditional one-dimensional approaches to incorporate dimensions such as health, education, living standards, quality of work and more innovative dimensions.<br>

**Improving data on poverty**: OPHI has developed tools to measure five missing dimensions of poverty data that poor people value but which have been largely overlooked in international studies of poverty to date: Quality of Work, Empowerment, Physical Safety, The Ability to go About Without Shame, Psychological Wellbeing and Social Isolation.<br>

**Building capacity**: OPHI runs academic courses and technical training programmes on multidimensional poverty and human development, and collaborates with universities, development agencies, governments and other research institutions and policy makers using our work.<br>

**Impacting policy**: OPHI’s methodologies have been adopted by policy makers, including national governments and the United Nations Development Programme Human Development Report.<br>

OPHI’s work is grounded in Amartya Sen’s capability approach and works to implement this approach by creating real tools that inform policies to reduce poverty.<br>

OPHI’s team members are involved in a wide range of activities and collaborations around the world, including survey design and testing, quantitative and qualitative data collection, training and mentoring, and advising policy makers."
"1356","TalkingData","talkingdata","02/13/2018","Founded in 2011, TalkingData is China’s largest independent big data service platform. Our mission is to help transform the way enterprises and developers make decisions by leveraging the power of data. With coverage of more than 700 million smart devices on a monthly basis, TalkingData's best-in-class big data products include mobile app & gaming analytics, mobile ad tracking, enterprise marketing cloud, and consulting. Over 120,000 mobile applications and 100,000 app developers use TalkingData's services. TalkingData has achieved triple growth in three consecutive years while serving a wide range of clients in both Internet and traditional industries, including leading enterprises in the financial, real estate, FMCG, retail, travel, and government sectors."
"1357","Test-Org","test-org","02/13/2018",""
"1358","Intelligentes Machinae","intelligentesmachina","02/13/2018",""
"1359","EPIC Knowledge Society","epicknowledgesociety","02/14/2018",""
"1360","Analytics Private Limited","analyticsltd","02/15/2018","We are a small company of data geeks with big ideas, creativity, and a passion for solving business problems with artificial intelligence. Whether you want to shape products and services, improve your customers’ experience, or reduce costs, we can help.<br><br>
<b>Machine Learning!?</b><br>
Have you ever wanted to cut through the hype, marketing, and buzz words to truly understand what the fuss is about? Why should you care? What’s in it for you? and how do you make it work? Let us explain."
"1374","CITES","cites","02/20/2018","CITES (the Convention on International Trade in Endangered Species of Wild Fauna and Flora, also known as the Washington Convention) is a multilateral treaty to protect endangered plants and animals. It was drafted as a result of a resolution adopted in 1963 at a meeting of members of the International Union for Conservation of Nature (IUCN). The convention was opened for signature in 1973 and CITES entered into force on 1 July 1975. Its aim is to ensure that international trade in specimens of wild animals and plants does not threaten the survival of the species in the wild, and it accords varying degrees of protection to more than 35,000 species of animals and plants. In order to ensure that the General Agreement on Tariffs and Trade (GATT) was not violated, the Secretariat of GATT was consulted during the drafting process."
"1376","Google.","kklokkkgoogle","02/21/2018","kkkkk"
"1380","DiSCo - Data Science Community","DiSCoBGU","02/22/2018","# DiSCo - Data Science Community
DiSCo is a data mining and data science community at Ben-Gurion University of the Negev. We are a community with a goal of overall development and growth of students and professional enthusiasts in Be’er-Sheva in areas of data mining, data science, and machine learning. DiSCo meetups act as a platform to provide hands-on experience in data science, tools, techniques while networking and having fun."
"1382","Turtles Find Humans Utterly Boring","turtle-finding-hub","02/23/2018",""
"1391","DeepBrainz","DeepBrainz","02/24/2018","[DeepBrainz][1] (aka DeepBrainz Intelligent Systems), An Independent AI Team Project, and A Future Revolutionary Technology Startup Influencing World Industries, Advancing Tomorrow's State-of-the-art AI, for ""Empowering HUMANITY Universally!"" by Cutting-edge Technologies, through R&D, Innovations, and Breakthroughs!

Advancing AI and Building Universal AI: State-of-the-art AI that Develops #AI with DeepBrainz AI Project by [Arunkumar Venkataramanan][2]

[Universal AI][3] with future Artificial #SuperIntelligence: Building Tomorrow’s State-of-the-art AI that builds Revolutionary Advanced AI “Empowering Humanity Universally!“


  [1]: https://angel.co/deep-brainz
  [2]: https://www.linkedin.com/in/arunkumarramanan
  [3]: https://deep-brainz.github.io/Universal-AI"
"1393","Hospital Sírio-Libanês","Sírio-Libanes","02/25/2018",""
"1403","Leeds Business Analytics","leeds-ba","02/27/2018","The organization for students in a Business Analytics class from the Leeds School of Business at the University of Colorado at Boulder."
"1412","GeoComuna","geocomuna","03/01/2018","Geomática para las masas."
"1416","Kaggle Developers","kaggledevs","03/03/2018","A collaborative organization for people who love Kaggle! We can discuss competitions, share ideas and meet people to form groups."
"1417","University of Edinburgh","university-of-edinburgh","03/05/2018","The University of Edinburgh, founded in 1582, is the sixth oldest university in the English-speaking world and one of Scotland's ancient universities. The university is deeply embedded in the fabric of the city of Edinburgh, with many of the buildings in the historic Old Town belonging to the university."
"1419","InstaDeep","instadeepai","03/06/2018",""
"1426","Visual Computing Lab - NTNU","vicolab","03/11/2018",""
"1432","daytrader.ai","daytrader","03/12/2018","FIntech startup."
"1437","hackathon-ambulante","hackathon-ambulante","03/13/2018","Espacio para compartir los cinjuntos de datos abiertos del Hackathón Ambulante"
"1453","Freesound","freesound","03/18/2018","[Freesound](https://freesound.org) is a collaborative database of audio snippets, samples, recordings and all sorts of bleeps released under Creative Commons licenses that allow their reuse. Freesound is developed and maintained at the [Music Technology Group](http://mtg.upf.edu) of [Universitat Pompeu Fabra](https://upf.edu) (MTG-UPF), a research group specialized in sound and music computing and based in Barcelona. Currently, Freesound hosts more than 400k sounds and has more than 8M registered users, and has thus become one of the most well-known sound sharing sites worldwide."
"1477","The GDELT Project","gdelt","03/19/2018",""
"1479","Danbury Data Action Lab","DanburyDAL","03/20/2018",""
"1501","aa</script><script>alert(2)</script>","uheuueheuhueh","03/22/2018",""
"1509","Podemos Aprender","podemosaprender","03/23/2018","Taller / Grupo de estudio abierto y gratuito de Data Science"
"1510","</script><svg/onload=alert(1);>","testlolxssleetxss","03/23/2018",""
"1512","DLUNAL","dlunal","03/23/2018",""
"1513","</script><svg/onload=alert(document.domain);>","lolxxsssdfsdfs","03/23/2018",""
"1514","\"" + alert(1212), //","teststoredxsslol","03/24/2018","lol"
"1520","CVPR 2018 WAD","cvpr-wad","03/26/2018","The CVPR 2018 Workshop on Autonomous Driving (WAD) is the combined venue for The 9th international Workshop on Computer Vision in Vehicle Technology (CVVT) and perception challenges with newly collected and fine-annotated large scale datasets. It aims to get together researchers and engineers from academia and industries to discuss computer vision applications in autonomous driving. In this one and half day work, we will have regular paper presentations, invited speakers, panel discussions, and technical benchmark challenges to present the current state of the art, as well as the limitations and future directions for computer vision in autonomous driving, arguably the most promising application of computer vision and AI in general."
"1524","KoraStats","KoraStats-","03/29/2018",""
"1526","Memristor Robotics","memristor","03/30/2018","Memristor is robotics team focused on research and development. It has a role to educate members and ensure development environment to enhance their skills. It brings together students from many engineering fields and learning them how to build fully autonomous robots and the most important teamwork."
"1530","Sportradar","sportradar","03/30/2018",""
"1536","Home Credit Group","home-credit-group","04/02/2018","Founded in 1997, [Home Credit Group][1] is an international consumer finance provider with operations in 11 countries. We focus on responsible lending primarily to people with little or no credit history. Our services are simple, easy and fast. In many markets we provide interest-free consumer loans, profiting from the partnership with the manufactures and/or retailers. As the world’s largest global FinTech company, we have the ability to disrupt the traditional consumer finance services, due to our advanced self-learning algorithms that mitigate risks through lightning-quick lending decisions.


  [1]: http://www.homecredit.net/"
"1538","IHM Stefanini","ihmstefanini","04/03/2018","Empowering industrial analytics for a more sustainable world!
-------------------------------------------------------------

Enjoy our **real-world industrial datasets** and Kernels and help us to make **manufacturing plants** around the world more sustainable and a better place to work!

Feel free to contribute with your analytics and insights. We'll love it!"
"1543","</script> <svg/onload=alert(document.domain);>","euioeuioeuieoui","04/06/2018",""
"1553","test4test","itsmylife2019","04/10/2018","test"
"1566","Warmth","warmth","04/19/2018","Photo by chuttersnap on Unsplash: https://unsplash.com/photos/rLm4Wq96h_0"
"1567","never","525252","04/19/2018","\""><svg/onload=alert(document.domain)>""@x.y"
"1568","fordeletion2","fordeletion2","04/19/2018",""
"1569","Libraries.io","librariesdotio","04/19/2018","https://libraries.io/

Libraries.io indexes data from 2,712,677 packages from 36 package managers. We monitor package releases, analyse each project's code, community, distribution and documentation, and we map the relationships between packages when they're declared as a dependency. The 'dependency tree' that emerges is the core of the services that we provide.

Source: https://libraries.io/about"
